product_model,product_name,product_price
 1.064-912.,Curatitor cu apa sub presiune HDS 5/15 U,"10 900,00 lei"
 1.127-002.,MASINA DE FRECAT ASPIRAT BD 50/60 C Ep Classic,"11 000,00 lei"
 1.127-001.,Masina de frecat- aspirat BD 50/50 C Bp Classic +lama,"11 100,00 lei"
:1.515-401.,Masina de frecat aspirat BD 43/35 C Ep,"11 435,00 lei"
:1.146-601.,Aspirator special NT 611 Mwf,"11 443,00 lei"
 1.064-913.,Curatitor cu apa sub presiune HDS 5/15 UX,"11 900,00 lei"
 1.286-924.,Aparat de curatat cu inalta presiune HD 10/23-4 SX Plus,"12 345,00 lei"
 1.291-141.,Masina de lustruit  BDP 50/1500 C,"12 500,00 lei"
:1.008-057.,Aparat pentru curatarea covoarelor BRC 30/15 C,"13 800,00 lei"
OST EXPUS..,Masina de frecat aspirat BR 35/12 C Bp Pack Resigilat,"14 000,00 lei"
 pentru o..,Masina de maturat - aspirat KM 75/40 W G,"14 542,00 lei"
esiune de..,Curatitor si aspirator cu abur SGV 8/5,"14 900,00 lei"
" 100° 
-..",Curatitor cu apa sub presiune HDS 8/18-4 C,"15 150,00 lei"
-19 având..,Curatitor si aspirator cu abur SGV 6/5,"16 750,00 lei"
 1.626-722.,Curatitor de piese PC 100 M2 Bio,"18 039,34 lei"
 9.987-883.,Aspirator murdarie lichida aschii VR-L 100/24-2 *W2K,"19 238,00 lei"
iar si in..,Aspirator pentru murdarie lichida si aschii IVR-L...,
 1.049-207.,Masina de maturat - aspirat KM 75/40 W Bp Pack,
 1.351-110.,Masina de maturat - aspirat KM 85/50 W P Adv,
 1.030-904.,CURATITOR CU APA SUB PRESIUNE HDS-E 8/16-4 M 24 kWv,
 1.030-906.,CURATITOR CU APA SUB PRESIUNE HDS-E 8/16-4 M 36 kW,
"nd 1,000 m²",APARAT PENTRU CURATAREA COVOARELOR BRC 40/22 C,
:1.008-056.,Aparat pentru curatarea covoarelor BRC 45/45 C,
 1.351-115.,Masina de maturat - aspirat KM 85/50 W Bp Pack Adv,
 1.007-058.,Aparat de spalat cu presiune si aspirat AP 100/50 M,
iar si in..,Aspirator pentru murdarie lichida si aschii IVR-L...,
S 100/40 *E,Aspirator industrial IVS 100/40 *EU,
:1.161-306.,Masina de frecat aspirat B 90 R Classic Bp,
 1.698-917.,Aparat de curatat cu inalta presiune stationar HDS 9/14-4 ST,
 1.310-121.,Masina de curatat scari rulante BR 45/10 Esc,
 1.161-070.,MASINA DE FRECAT ASPIRAT BD 50/70 R Classic,
ale Ideal..,Aspirator pentru murdarie lichida si aschii IVR-L...,
 1.699-921.,Aparat de curatat cu inalta presiune stationar HDS...,
